time_s,cpu_usage_ms_per_s
0,103.93374604814328
1,105.42492058517743
2,103.94709608979977
3,104.93741541822828
4,102.99204902293053
5,98.57485201831037
6,102.98887396873397
7,102.69943164150341
8,101.60141536313235
9,101.705320810545
10,98.39440429318321
11,96.7906279088276
12,98.73602564508649
13,98.7622368288503
14,98.6636874961562
15,95.94888184292186
16,98.03578284676365
17,100.78442544292241
18,99.78854093403851
19,104.5423678904336
20,101.13167816421651
21,101.95572160698997
22,104.48151346935644
23,107.14265312273326
24,100.59518960592493
25,97.97047889867135
26,98.13081345203472
27,100.76830255191472
28,99.94226649532901
29,101.22117869701967
30,99.82574101760466
31,100.37672768562912
32,101.01830617022306
33,101.3063798351024
34,101.30246551985306
35,104.33819677461005
36,100.45921615430491
37,102.81228739533962
38,102.12927055634752
39,104.50150880995487
40,100.23783115102309
41,104.49166023167561
42,100.15652741419386
43,99.4164087184944
44,101.1971709819121
45,99.15784954358938
46,102.82132154390567
47,95.92005873288169
48,95.70105752136755
49,96.00495642540884
50,95.90866477298142
51,87.19736242827048
52,89.04082944566336
53,93.47807668631857
54,94.1172130007781
55,94.2847261951031
56,93.32254530709669
57,94.98167268091206
58,93.98615593173365
59,91.95881740014124
60,96.70010353314831
61,95.55492616204714
62,97.24710900208746
63,96.69820780709807
64,96.62090259634165
65,101.23295257807848
66,104.64140016397542
67,103.84868478823425
68,103.29289053377812
69,104.15016308826753
70,105.35507148710735
71,102.35398305178167
72,99.11038109719001
73,100.051032448187
74,99.68692230011982
75,99.52470923159687
76,96.22590331429542
77,99.2241456210094
78,99.2076706291004
79,95.80176141957607
80,98.7181948655664
81,99.53269640912666
82,99.92829040202781
83,99.69065958823562
84,101.10963130713156
85,99.62852732459564
86,102.04456684099212
87,101.41474016246603
88,104.72760051622372
89,104.42998521310471
