time_s,throughput_Mbps
0,13.592400690846286
1,13.457580991259746
2,12.794089426213779
3,13.537132987910189
4,13.592400690846286
5,12.920744578775665
6,13.295336787564768
7,13.828823642295145
8,13.59575024859999
9,13.191709844559584
10,12.52542698138553
11,12.104778353483018
12,10.851625058878948
13,11.22740356937248
14,10.98407215505661
15,10.967184801381691
16,11.641283299314388
17,12.582229898292073
18,14.172711571675299
19,15.656565656565654
20,16.470926885434658
21,16.493955094991364
22,16.750335828056034
23,16.90678808813524
24,16.64133563615429
25,16.63212435233161
26,16.122433314143155
27,15.536818966870781
28,15.526770293609673
29,16.43484935712915
30,16.873920552677028
31,16.504003768252474
32,17.15409710228363
33,18.73229706390328
34,19.666823677186372
35,21.149491460372282
36,22.504317789291886
37,23.598925350220682
38,24.08823991207411
39,24.62751871042027
40,25.82037996545769
41,25.25235079639225
42,24.11336159522688
43,23.429284206486276
44,22.364613317981192
45,21.28382268278641
46,20.652431046213426
47,20.639032815198615
48,20.76799078871618
49,20.777202072538863
50,21.18019573978123
51,20.66666666666666
52,19.741700249472274
53,19.53535353535353
54,18.999424294761084
55,17.937056227211666
56,16.983688351564
57,16.501491599937193
58,16.09556706966033
59,15.17136825945116
60,14.352331606217616
61,13.47432878002826
62,12.133947418921514
63,12.330454807138745
64,13.584864185900463
65,14.532719247745153
66,14.55958549222798
67,14.944156591824985
68,15.656565656565654
69,17.000575705238923
70,19.265016311648424
71,21.434273651890233
72,22.148845972680174
73,20.830934561504503
74,21.296104394549992
75,20.777202072538863
76,20.64210324313951
77,20.507004413740166
78,19.98503166378814
79,18.30020411367561
80,17.215505661101517
81,15.21588946459412
82,14.72769142199194
83,14.151776835714662
84,13.74438687392055
85,12.947610823258493
86,12.009595087315294
87,10.7134558015387
88,11.089234312032243
89,13.570140088274803
