time_s,cpu_usage_ms_per_s
0,61.27167630057804
1,62.417726396917146
2,62.95414258188825
3,62.388439306358386
4,61.98921001926782
5,60.959537572254334
6,62.00642260757867
7,63.10751445086706
8,63.640077071290946
9,63.77572254335261
10,63.52601156069364
11,63.12138728323699
12,63.163005780346815
13,63.35260115606936
14,63.28015414258189
15,61.84971098265897
16,60.827745664739886
17,60.14643545279383
18,59.71159111651962
19,59.92576817766961
20,60.196959965746096
21,60.430057803468216
22,63.142967244701346
23,66.85317919075145
24,68.81387283236994
25,69.1868978805395
26,70.50635838150289
27,71.78265895953757
28,70.72369942196532
29,69.76570327552986
30,70.52023121387283
31,69.95838150289018
32,66.60929137229716
33,64.85549132947978
34,65.25472061657034
35,65.97302504816956
36,67.29248554913295
37,69.3626204238921
38,69.14065510597304
39,68.20809248554914
40,67.29479768786128
41,67.35414258188824
42,67.39884393063583
43,67.01734104046243
44,64.98265895953757
45,62.658959537572265
46,61.01888246628131
47,62.23198458574181
48,62.42312138728324
49,63.37263969171484
50,64.94026974951831
51,68.35606936416185
52,70.9424106187112
53,72.92716763005781
54,76.01618497109826
55,79.4990366088632
56,82.8431599229287
57,88.03930635838151
58,90.40154142581889
59,94.58188824662813
60,94.98265895953756
61,95.04585741811174
62,95.40346820809248
63,96.12947976878611
64,96.60372511239564
65,96.71676300578034
66,94.58959537572254
67,92.53641618497112
68,87.52601156069363
69,83.364161849711
70,81.34446585313637
71,79.17687861271676
72,76.73526011560695
73,73.50443159922928
74,69.41502890173408
75,66.79768786127167
76,65.95298651252409
77,67.3663027189039
78,68.09248554913296
79,68.20732177263969
80,69.32562620423892
81,70.8
82,72.86011560693643
83,75.37229715264397
84,79.38959537572255
85,81.60308285163777
86,81.29017341040462
87,82.03005780346821
88,84.03236994219652
89,84.39306358381502
