time_s,cpu_usage_ms_per_s
0,48.90173410404624
1,49.01453844806446
2,49.23827874116891
3,48.8169556840077
4,50.39481520406376
5,52.54014129736673
6,54.46820809248555
7,53.60115606936416
8,51.470310036784035
9,49.99229287090559
10,49.06872190109184
11,48.164418754014136
12,47.75197057277982
13,47.41233140655106
14,46.639049454078354
15,46.48362235067437
16,47.60203187948852
17,48.95568400770713
18,49.664739884393065
19,50.05570152390962
20,50.17019910083494
21,50.0635838150289
22,49.41425818882466
23,47.65107724645297
24,45.17148362235068
25,43.339755940912006
26,42.49068721901092
27,41.63321071991592
28,39.84071933204881
29,38.46628131021195
30,37.957610789980734
31,37.01664039236294
32,36.88375080282594
33,38.0655105973025
34,38.265195305657734
35,37.479126525369296
36,37.45664739884393
37,38.20745022479126
38,38.722718514626024
39,38.72832369942196
40,39.60179833012203
41,40.82594733461786
42,41.1518654755649
43,41.93384714193963
44,43.919075144508675
45,45.52986512524084
46,47.13119635662987
47,48.824662813102115
48,49.00963391136801
49,48.78752846382904
50,48.111753371868986
51,47.104046242774565
52,45.65767501605652
53,43.95025398493607
54,42.142581888246625
55,39.788053949903656
56,37.20102761721258
57,35.29164477141356
58,32.70456005138086
59,30.104688503532433
60,28.670520231213874
61,28.44210895077947
62,27.776493256262047
63,26.774566473988433
64,25.900858293921875
65,25.221579961464357
66,25.861271676300582
67,28.14836223506743
68,29.922578385006123
69,31.953757225433534
70,33.442517662170836
71,35.23185613359024
72,37.19180241723594
73,39.558766859344914
74,42.36673089274246
75,44.50867052023121
76,44.847784200385355
77,45.62877328195246
78,45.448940269749514
79,45.54843229987739
80,45.54913294797688
81,45.439306358381494
82,45.00449582530508
83,43.48642494307235
84,41.00963391136801
85,38.95953757225434
86,37.99100834938985
87,37.91907514450867
88,36.47463070006422
89,35.00513808606294
