time_s,throughput_Mbps
0,35.975820379965455
1,36.245459779138535
2,38.496641719439644
3,41.95854922279793
4,44.390328151986175
5,44.80713874496257
6,47.12607944732297
7,49.92938015735943
8,49.794281327960086
9,46.607944732297064
10,43.763542157324544
11,40.81481481481482
12,39.337938975244676
13,37.98136808499503
14,36.622913068508915
15,36.32124352331606
16,37.16407599309154
17,38.76376895029745
18,42.11053540587219
19,43.886638404773116
20,44.477067741316446
21,45.979274611398964
22,47.575897140663976
23,48.933026290539246
24,49.55660229235359
25,49.60468240260986
26,48.516215697562856
27,46.75804678913487
28,45.31299174822491
29,44.62521588946459
30,42.18087611869995
31,39.78698906160047
32,37.75276076830481
33,36.14162348877375
34,36.0065246593744
35,37.03093107238185
36,39.07081174438687
37,40.36729994242948
38,40.92562935049982
39,41.68221070811744
40,41.946407075940755
41,42.706198426405685
42,44.00575705238918
43,45.81012194483696
44,47.52062943772788
45,49.24006908462867
46,51.413932066781804
47,53.03511801957398
48,54.84974093264249
49,56.286701208981
50,55.641911341393204
51,54.18652849740933
52,52.57762425638074
53,50.30397236614853
54,47.554404145077726
55,44.926117827672236
56,42.8597198234504
57,40.176165803108816
58,37.82575321435425
59,35.98963730569948
60,33.21243523316063
61,29.309921320284033
62,26.10132412204952
63,25.05123776626368
64,23.96430627518711
65,22.41429842466112
66,20.860103626943
67,19.66263672999424
68,19.55210132412205
69,21.10189982728842
70,23.749934578950104
71,25.98004221838418
72,27.34484743811169
73,29.136860836342716
74,31.70792554212244
75,34.73229706390329
76,37.80551630292564
77,40.25292650163116
78,41.751295336787564
79,42.54179096666144
80,42.92266359623873
81,43.394253414978806
82,43.48148148148149
83,42.89349453080022
84,41.46239598053068
85,38.7430435616964
86,35.54289004029938
87,33.96608572774377
88,34.35463442717328
89,33.73747841105354
