scheme,step,hour,load,slice,slice_name,offered_mbps,delivered_mbps,radio_mbps,compute_cap_mbps,eta,d_e2e_ms,d_transport_ms,d_proc_ms,violated,placement
S0,7,0,0.2,3,VIDEO,6.4,6.4,51.505140635720586,32.0,0.9433175940608166,115.05694725047363,112.0,1.6,1,central/central/edge
S0,7,0,0.2,4,CPU-OFF,1.6,1.6,84.1702465782822,8.0,1.5415796076608461,130.00630823762387,112.0,18.0,0,central/central/edge
S0,7,0,0.2,5,MQTT,0.4,0.4,79.07565341035085,2.0,1.4482720404826164,115.37910871271426,112.0,0.6,1,central/central/edge
S0,8,1,0.2,1,BE-DL,4.0,4.0,79.06628459974449,20.0,1.4481004505447708,114.32706076723116,112.0,2.0,0,central/central/edge
S0,8,1,0.2,2,YOLO,3.0,3.0,50.25075047297284,15.0,0.9203434152559128,118.76646425393673,112.0,3.6,1,central/central/edge
S0,8,1,0.2,3,VIDEO,6.4,6.4,72.82352364989667,32.0,1.333764169412027,117.06407658654575,112.0,1.6,1,central/central/edge
S0,8,1,0.2,4,CPU-OFF,1.6,1.6,56.769465721698886,8.0,1.0397338044267195,130.20557326130455,112.0,18.0,0,central/central/edge
S0,8,1,0.2,5,MQTT,0.4,0.4,107.68941301314257,2.0,1.9723335716692778,113.85380926506983,112.0,0.6,1,central/central/edge
S0,9,1,0.2,1,BE-DL,4.0,4.0,50.96674308552306,20.0,0.9334568330681879,115.98467415427557,112.0,2.0,0,central/central/edge
S0,9,1,0.2,2,YOLO,3.0,3.0,64.00970992206291,15.0,1.1723390095615918,117.0579983681026,112.0,3.6,1,central/central/edge
S0,9,1,0.2,3,VIDEO,6.4,6.4,79.09369385509291,32.0,1.448602451558478,116.30974255170806,112.0,1.6,1,central/central/edge
S0,9,1,0.2,4,CPU-OFF,1.6,1.6,105.75254731875043,8.0,1.936859841002755,133.35462540337411,112.0,18.0,0,central/central/edge
S0,9,1,0.2,5,MQTT,0.4,0.4,75.88889876263674,2.0,1.3899065707442626,115.70938399210836,112.0,0.6,1,central/central/edge
S0,10,1,0.2,1,BE-DL,4.0,4.0,75.65752165121397,20.0,1.3856688947108784,114.08271350035122,112.0,2.0,0,central/central/edge
S0,10,1,0.2,2,YOLO,3.0,3.0,67.65167231598528,15.0,1.2390416175088879,116.64198309747302,112.0,3.6,1,central/central/edge
S0,10,1,0.2,3,VIDEO,6.4,6.4,59.48843435504901,32.0,1.0895317647444873,114.58564722585209,112.0,1.6,1,central/central/edge
S0,10,1,0.2,4,CPU-OFF,1.6,1.6,59.26431891560634,8.0,1.0854270863664164,132.35139093602947,112.0,18.0,0,central/central/edge
S0,10,1,0.2,5,MQTT,0.4,0.4,57.67903197771362,2.0,1.056392527064352,114.30577073125379,112.0,0.6,1,central/central/edge
S0,11,1,0.2,1,BE-DL,4.0,4.0,81.53177332503016,20.0,1.493255921703849,116.11510511370773,112.0,2.0,0,central/central/edge
S0,11,1,0.2,2,YOLO,3.0,3.0,39.47080128166624,15.0,0.7229084483821656,117.32019166319324,112.0,3.6,1,central/central/edge
S0,11,1,0.2,3,VIDEO,6.4,6.4,49.366065698263874,32.0,0.9041403974041002,115.7048374246914,112.0,1.6,1,central/central/edge
S0,11,1,0.2,4,CPU-OFF,1.6,1.6,84.15540347011022,8.0,1.5413077558628243,131.97408352352937,112.0,18.0,0,central/central/edge
S0,11,1,0.2,5,MQTT,0.4,0.4,50.37169362926387,2.0,0.9225584913784592,115.71660687904887,112.0,0.6,1,central/central/edge
S0,12,1,0.2,1,BE-DL,4.0,4.0,48.92045063662001,20.0,0.8959789493886449,116.75704319212974,112.0,2.0,0,central/central/edge
S0,12,1,0.2,2,YOLO,3.0,3.0,112.3985440267614,15.0,2.0585813924315275,117.83659188278038,112.0,3.6,1,central/central/edge
S0,12,1,0.2,3,VIDEO,6.4,6.4,60.862502806421126,32.0,1.1146978535974565,115.90862543621832,112.0,1.6,1,central/central/edge
S0,12,1,0.2,4,CPU-OFF,1.6,1.6,64.96788802908493,8.0,1.1898880591407497,131.91121080465226,112.0,18.0,0,central/central/edge
S0,12,1,0.2,5,MQTT,0.4,0.4,68.14813466221695,2.0,1.2481343344728377,115.81042154874994,112.0,0.6,1,central/central/edge
S0,13,1,0.2,1,BE-DL,4.0,4.0,107.45774756846548,20.0,1.96809061480706,116.84985071655078,112.0,2.0,0,central/central/edge
S0,13,1,0.2,2,YOLO,3.0,3.0,132.6231546370679,15.0,2.4289955061734045,116.07166508067395,112.0,3.6,1,central/central/edge
S0,13,1,0.2,3,VIDEO,6.4,6.4,71.2210743142817,32.0,1.3044152804813496,115.75427896025603,112.0,1.6,1,central/central/edge
S0,13,1,0.2,4,CPU-OFF,1.6,1.6,126.41928410545106,8.0,2.3153715037628397,131.40991716435352,112.0,18.0,0,central/central/edge
S0,13,1,0.2,5,MQTT,0.4,0.4,93.07348324052126,2.0,1.704642550192697,115.28112719513199,112.0,0.6,1,central/central/edge
S0,14,1,0.2,1,BE-DL,4.0,4.0,70.68439315813605,20.0,1.294585955277217,116.19921751827081,112.0,2.0,0,central/central/edge
S0,14,1,0.2,2,YOLO,3.0,3.0,55.4324935026877,15.0,1.0152471337488589,116.72468193408731,112.0,3.6,1,central/central/edge
S0,14,1,0.2,3,VIDEO,6.4,6.4,79.04966963083588,32.0,1.4477961470849061,115.89528619572661,112.0,1.6,1,central/central/edge
S0,14,1,0.2,4,CPU-OFF,1.6,1.6,105.75273119923236,8.0,1.9368632087771493,131.18353494957603,112.0,18.0,0,central/central/edge
S0,14,1,0.2,5,MQTT,0.4,0.4,82.29662266439134,2.0,1.5072641513624787,114.9400747594353,112.0,0.6,1,central/central/edge
S0,15,1,0.2,1,BE-DL,4.0,4.0,123.86149286267825,20.0,2.2685255103054622,114.1145143236892,112.0,2.0,0,central/central/edge
S0,15,1,0.2,2,YOLO,3.0,3.0,135.45945814771278,15.0,2.4809424569178167,115.89368286136941,112.0,3.6,1,central/central/edge
S0,15,1,0.2,3,VIDEO,6.4,6.4,55.89677632604257,32.0,1.0237504821619519,115.54169366935777,112.0,1.6,1,central/central/edge
S0,15,1,0.2,4,CPU-OFF,1.6,1.6,83.76156237931575,8.0,1.534094549071717,130.81094377487307,112.0,18.0,0,central/central/edge
S0,15,1,0.2,5,MQTT,0.4,0.4,52.434622965953196,2.0,0.9603410799625127,114.40628905673205,112.0,0.6,1,central/central/edge
S0,16,2,0.2,1,BE-DL,4.0,4.0,146.38166614250653,20.0,2.680982896382903,115.1153763825356,112.0,2.0,0,central/central/edge
S0,16,2,0.2,2,YOLO,3.0,3.0,31.859077804350324,15.0,0.5834995934862697,116.69783359547333,112.0,3.6,1,central/central/edge
S0,16,2,0.2,3,VIDEO,6.4,6.4,37.661660690092184,32.0,0.6897740053130437,114.01247375583537,112.0,1.6,1,central/central/edge
S0,16,2,0.2,4,CPU-OFF,1.6,1.6,104.5277584777173,8.0,1.9144278109472033,132.32114177630044,112.0,18.0,0,central/central/edge
S0,16,2,0.2,5,MQTT,0.4,0.4,74.04878604111607,2.0,1.3562048725479134,115.46879103503024,112.0,0.6,1,central/central/edge
S0,17,2,0.2,1,BE-DL,4.0,4.0,86.25623057485524,20.0,1.5797844427629164,117.35468039793466,112.0,2.0,0,central/central/edge
S0,17,2,0.2,2,YOLO,3.0,3.0,19.099032033760327,15.0,0.34979912149744186,118.0462031007837,112.0,3.6,1,central/central/edge
S0,17,2,0.2,3,VIDEO,6.4,6.4,22.520997054041803,32.0,0.41247247351724914,116.20762210326677,112.0,1.6,1,central/central/edge
S0,17,2,0.2,4,CPU-OFF,1.6,1.6,54.43388228527146,8.0,0.9969575510122978,133.11324425056586,112.0,18.0,0,central/central/edge
S0,17,2,0.2,5,MQTT,0.4,0.4,55.64605152672915,2.0,1.0191584528704973,113.3552670162944,112.0,0.6,1,central/central/edge
