scheme,slice,name,label,strict_sla,violation_rate,mean_e2e_ms,p50_e2e_ms,p95_e2e_ms,p99_e2e_ms,mean_throughput_mbps,placement
S0,1,BE-DL,Best-effort DL (iperf + SFTP 5MB),0,0.16666666666666666,115.79826557727893,115.82466348200177,117.34869795598831,117.50699098171701,12.666666666666666,central/central/edge
S0,2,YOLO,GPU vision (YOLO bbox DL),1,1.0,126.43457739545147,127.67487006728433,140.32352197453918,141.3225017283182,9.429949999792647,central/central/edge
S0,3,VIDEO,SLA video (gstreamer watch DL),1,1.0,119.46287010718127,119.51200856394934,126.0443056584011,126.81164550534324,18.500817563987678,central/central/edge
S0,4,CPU-OFF,CPU offload DL (encrypt+zip+scan+LUT),0,0.16666666666666666,177.51286707355686,185.10260985457603,243.86294628216925,244.56987095696465,5.066666666666666,central/central/edge
S0,5,MQTT,MQTT Get (farm telemetry DL),1,1.0,115.94783613747005,115.80085121287928,118.72743899261899,119.50745750049872,1.2666666666666666,central/central/edge
S1,1,BE-DL,Best-effort DL (iperf + SFTP 5MB),0,0.16666666666666666,67.79826557727891,67.82466348200177,69.34869795598831,69.50699098171701,12.666666666666666,central/central/central
S1,2,YOLO,GPU vision (YOLO bbox DL),1,0.18229166666666666,40.43457739545148,41.67487006728433,54.3235219745392,55.322501728318215,9.429949999792647,edge/edge/edge
S1,3,VIDEO,SLA video (gstreamer watch DL),1,0.2708333333333333,51.46287010718125,51.51200856394934,58.0443056584011,58.81164550534323,18.500817563987678,regional/regional/regional
S1,4,CPU-OFF,CPU offload DL (encrypt+zip+scan+LUT),0,0.16666666666666666,129.51286707355686,137.10260985457603,195.86294628216925,196.56987095696465,5.066666666666666,central/central/central
S1,5,MQTT,MQTT Get (farm telemetry DL),1,0.16666666666666666,67.94783613747005,67.80085121287928,70.72743899261899,71.50745750049872,1.2666666666666666,central/central/central
S2,1,BE-DL,Best-effort DL (iperf + SFTP 5MB),0,0.0,67.73159891061225,67.81545833850089,69.31526906880327,69.47300137786719,13.333333333333334,central/central/central
S2,2,YOLO,GPU vision (YOLO bbox DL),1,0.041666666666666664,41.10743453830862,43.034043641012474,45.33717319136833,45.53371761704204,9.864782882526798,edge/edge/edge
S2,3,VIDEO,SLA video (gstreamer watch DL),1,0.171875,51.761917726228866,52.07509771091365,54.42517481099898,54.50517240463189,19.14523907437609,regional/regional/regional
S2,4,CPU-OFF,CPU offload DL (encrypt+zip+scan+LUT),0,0.0,132.87715278784256,145.41853150327182,147.59668740405442,147.78993212295097,5.333333333333333,central/central/central
S2,5,MQTT,MQTT Get (farm telemetry DL),1,0.0,68.0599789946129,68.05176803720536,69.93708791545673,70.12443460531802,1.3333333333333333,central/central/central
S3,1,BE-DL,Best-effort DL (iperf + SFTP 5MB),0,0.052083333333333336,67.73159891061225,67.81545833850089,69.31526906880327,69.47300137786719,13.022235371761473,central/central/central
S3,2,YOLO,GPU vision (YOLO bbox DL),1,0.0,41.10743453830862,43.034043641012474,45.33717319136833,45.53371761704204,10.0,edge/edge/edge
S3,3,VIDEO,SLA video (gstreamer watch DL),1,0.005208333333333333,51.761917726228866,52.07509771091365,54.42517481099898,54.50517240463189,21.322004930615442,regional/regional/regional
S3,4,CPU-OFF,CPU offload DL (encrypt+zip+scan+LUT),0,0.015625,132.87715278784256,145.41853150327182,147.59668740405442,147.78993212295097,5.301674091068835,central/central/central
S3,5,MQTT,MQTT Get (farm telemetry DL),1,0.0,68.0599789946129,68.05176803720536,69.93708791545673,70.12443460531802,1.3333333333333333,central/central/central
