time_s,cpu_usage_ms_per_s
0,47.97687861271676
1,48.369942196531795
2,49.09441233140655
3,49.42581888246628
4,48.467332282361184
5,47.570502715011386
6,47.60273252758802
7,47.28323699421965
8,47.40514976353126
9,47.630057803468205
10,47.40585041163075
11,47.63519588953115
12,48.82396216500263
13,49.61709581362761
14,50.09283587318269
15,50.21194605009634
16,49.84830968645998
17,49.44403573305307
18,49.36416184971098
19,48.59858702633269
20,46.813802767559984
21,46.04308985811876
22,45.659601798330115
23,45.20745022479126
24,45.08039936941671
25,44.95708530390611
26,44.955041746949256
27,45.75512348922753
28,47.66509020844281
29,48.6235768085479
30,48.824662813102115
31,48.9409703976178
32,49.252058153792255
33,49.813977929584865
34,50.40077071290944
35,50.394114555964265
36,49.04887020493957
37,48.173760728674026
38,48.01669877970456
39,47.97687861271676
40,47.97687861271676
41,47.5957260465931
42,46.57032755298651
43,46.458574181117534
44,48.30828516377649
45,48.554913294797686
46,48.89402697495183
47,49.12804344018217
48,49.04256437204414
49,49.37893384714194
50,50.07531967069539
51,49.84550709406201
52,48.308285163776496
53,47.39884393063584
54,47.17183394640042
55,46.796286565072684
56,46.9364161849711
57,46.65703275529866
58,46.12576633385883
59,46.35698020669118
60,47.58801891749869
61,48.24149004495826
62,48.794534944823965
63,48.93116132422491
64,48.620073568050444
65,49.02055234425176
66,49.52811350499211
67,49.59537572254335
68,48.11070239971975
69,47.53371868978805
70,47.04501664039236
71,46.82080924855491
72,46.786127167630056
73,46.50902084428096
74,45.96391662287616
75,46.22175512348922
76,47.794476557482334
77,48.74338763356104
78,48.99001576458224
79,49.13294797687861
80,49.078355812459854
81,49.35785601681556
82,49.968821159572606
83,49.81257663338587
84,48.27745664739884
85,47.28323699421965
86,46.74373795761078
87,46.03468208092486
88,45.987797045600516
89,45.91417060781223
