time_s,cpu_usage_ms_per_s
0,75.60693641618498
1,75.30250481695568
2,76.41104688503532
3,78.77456647398844
4,79.76621708413616
5,79.90580175551274
6,79.49132947976878
7,78.37122671804752
8,79.27784200385356
9,80.5364161849711
10,80.69364161849711
11,80.75187326054379
12,82.68901734104047
13,84.35761078998074
14,86.27531577820595
15,88.4971098265896
16,89.42153714408049
17,89.69865125240848
18,89.08208092485549
19,88.40154142581888
20,87.0477413830015
21,85.5398843930636
22,84.09633911368016
23,83.65746092913723
24,83.94450867052022
25,84.14044101905374
26,84.27403125669022
27,83.5884393063584
28,82.48169556840078
29,82.88940269749519
30,83.96531791907513
31,84.41310211946049
32,84.6422607578677
33,84.99884393063584
34,85.1886105758938
35,85.13808606294155
36,86.17341040462428
37,87.3320488118176
38,88.90327552986513
39,89.13757225433525
40,89.04431599229287
41,89.23742239349176
42,89.52138728323699
43,86.96467565831729
44,85.74780560907728
45,85.13294797687861
46,84.8769000214087
47,85.96763005780346
48,85.757225433526
49,84.0616570327553
50,82.12802397773497
51,83.90289017341041
52,85.09132947976879
53,85.36159280667952
54,84.12947976878614
55,83.8193106401199
56,84.37148362235067
57,85.97687861271677
58,87.68477842003853
59,88.27574395204452
60,88.23121387283237
61,88.1179190751445
62,88.31256690216227
63,86.23352601156071
64,84.44615713979874
65,84.28131021194605
66,84.79537572254335
67,85.02419182187968
68,85.16608863198458
69,85.20231213872832
70,84.91714836223507
71,85.31791907514452
72,85.31791907514452
73,86.09205737529437
74,86.01156069364163
75,86.15028901734104
76,86.5347891243845
77,86.3306358381503
78,86.1364161849711
79,87.10443159922929
80,85.41639905801755
81,84.41618497109826
82,85.25112395632627
83,85.05330764290302
84,84.78150289017341
85,84.92399914365232
86,83.6655105973025
87,81.02658959537571
88,82.02080924855491
89,80.79040890601586
