time_s,throughput_Mbps
0,25.9468438538206
1,25.9468438538206
2,25.311000369139908
3,23.790697674418606
4,23.687707641196013
5,24.724990771502398
6,25.511627906976745
7,25.30029531192322
8,23.82945736434109
9,23.04485049833887
10,23.02325581395349
11,23.517534145441125
12,22.633041377227425
13,22.624584717607974
14,22.750645994832045
15,22.51107419712071
16,21.70401691331924
17,21.565799187892207
18,22.189922480620154
19,23.022240679217425
20,22.8922111480251
21,23.91583610188261
22,24.83074935400517
23,25.416574381690662
24,25.676633444075307
25,26.831395348837205
26,27.626799557032108
27,27.807308970099665
28,27.807308970099665
29,28.317091177556293
30,28.463455149501662
31,28.338971106412966
32,27.949058693244737
33,27.431893687707642
34,27.54872646733111
35,27.93881506090808
36,27.03322259136213
37,27.136674049464748
38,27.00590623846438
39,26.745847176079735
40,26.356589147286822
41,25.334809892949437
42,25.014950166112957
43,24.884920634920636
44,24.110741971207094
45,24.71622369878184
46,25.28497600590624
47,25.545035068290883
48,25.16279069767442
49,25.570874861572538
50,26.35105204872647
51,27.131229235880397
52,27.52713178294573
53,28.6046511627907
54,28.602436323366558
55,28.082318198597267
56,27.562200073827974
57,28.079180509413067
58,28.339424141749724
59,28.729512735326686
60,29.119601328903656
61,29.12283130306386
62,28.47268364710225
63,28.212070874861574
64,29.120708748615726
65,28.7375415282392
66,28.7375415282392
67,28.7375415282392
68,28.72314507198228
69,28.33887043189369
70,28.33887043189369
71,28.726190476190474
72,29.131782945736436
73,29.00175341454411
74,28.87172388335179
75,28.87043189368771
76,28.850129198966407
77,28.199981543004807
78,27.549833887043185
79,26.704872646733108
80,25.924695459579183
81,25.145348837209305
82,24.49520118124769
83,23.802048726467333
84,23.40531561461794
85,22.7593207825766
86,23.27943890734588
87,23.988372093023248
88,24.765596160945
89,25.41528239202658
