time_s,cpu_usage_ms_per_s
0,103.69314015648104
1,98.83405835972621
2,100.53095027805688
3,101.6902920977456
4,102.79405030390433
5,99.53338467169405
6,98.59375067594307
7,96.96237371945732
8,99.27395380631532
9,97.26399595243595
10,101.32266338170159
11,97.28458345325865
12,100.15350298588014
13,99.14118717233573
14,100.93286270305985
15,103.53513356917226
16,103.01002390402937
17,99.48693270554584
18,103.19302370675219
19,102.37188217018074
20,101.5028552813748
21,98.14184356856657
22,99.07636204394441
23,100.60861637777674
24,98.8620974965228
25,101.6982676785524
26,99.30098838197362
27,99.82915283253504
28,100.64998734454042
29,101.94293882963909
30,100.52937589229587
31,103.09794107636141
32,101.13623167436842
33,100.98438395469144
34,101.83614383837164
35,104.04503432200379
36,100.59598588843407
37,102.67024606267833
38,101.28406652829074
39,99.32122544684218
40,102.3352957502102
41,99.07093806421524
42,101.50833823006198
43,98.72096089860476
44,96.8442361172179
45,97.31721284348951
46,95.56652348365303
47,88.17686343407212
48,89.11012843673348
49,91.55392871049355
50,92.72701996069563
51,95.26006855939194
52,93.71293859105616
53,94.08788465507513
54,91.79947706634725
55,94.09642694045242
56,95.26892075354287
57,97.4806854390196
58,95.33457869303852
59,96.3401686522396
60,100.41417769592408
61,98.17903063025618
62,102.34620917513108
63,102.77401456843587
64,103.28446540363478
65,103.86475206392039
66,105.60700516732814
67,101.45760857971572
68,100.53448913174158
69,100.11277125839736
70,100.34249417700218
71,100.09238093708885
72,98.52649729077822
73,97.71481325385298
74,98.64155426793286
75,99.59565890582064
76,101.32991546740323
77,101.16542006373312
78,101.56342555882081
79,98.8787230717147
80,99.97885447466128
81,100.94735371686129
82,102.25949363307208
83,101.20171642157891
84,104.88943892146659
85,103.10499256918312
86,102.69753917728504
87,103.96671776458511
88,104.05320450082928
89,104.07986574057473
