time_s,throughput_Mbps
0,84.5514950166113
1,84.2919561059096
2,83.6952750092285
3,82.25158562367865
4,80.13842746400886
5,78.2029598308668
6,76.48615725359912
7,74.80730897009967
8,74.6016980435585
9,75.60465116279069
10,77.08471760797342
11,78.50921171851404
12,80.97785160575859
13,83.10590959428168
14,84.94315245478036
15,86.61884627000906
16,87.89549984898822
17,89.07936507936509
18,89.62911507097553
19,89.46843853820597
20,89.41004731702405
21,88.7799003322259
22,86.91915836101883
23,84.33988556662976
24,82.17879794623981
25,80.71013289036544
26,78.95157555622671
27,77.02851605758583
28,75.90355381053055
29,75.98043558508675
30,76.00422832980972
31,76.49290244639081
32,78.06496862310816
33,78.87858652974933
34,78.6638981173865
35,78.35497835497836
36,78.5204872646733
37,78.79955703211516
38,77.48394241417498
39,75.32407127755965
40,72.75378368401624
41,72.58421423537702
42,73.20874861572536
43,74.70321151716502
44,77.55186415651528
45,78.1682271217155
46,78.02750092284977
47,77.95882412161481
48,78.73089700996677
49,79.76744186046511
50,79.53672942045036
51,78.2842041679251
52,76.96825396825398
53,74.6766334440753
54,73.48781838316722
55,73.32125239101983
56,73.12292358803987
57,73.39987919057687
58,74.89830195644149
59,77.34994462901437
60,79.4895801872546
61,81.0704134366925
62,82.55592469545958
63,84.05287929125139
64,85.47770059397966
65,86.90245478036175
66,87.75173663545756
67,86.68807678110004
68,84.27081445686096
69,81.95127353266888
70,81.17990536595187
71,81.82290513104465
72,82.24886741165811
73,81.03008490217793
74,79.4795127353267
75,78.47780126849895
76,78.20191952750092
77,78.943018222088
78,80.84828349944628
79,82.04037048223093
80,82.1594684385382
81,81.4291754756871
82,81.6016980435585
83,81.62790697674419
84,81.37763012181617
85,81.7640273163529
86,82.67423403469915
87,82.37292358803988
88,81.2324574650156
89,81.33776301218163
