time_s,cpu_usage_ms_per_s
0,33.14285714285714
1,32.91965367965368
2,32.91428571428571
3,33.377857142857145
4,33.71333333333333
5,33.82579365079365
6,33.84142857142857
7,34.18055555555556
8,34.73968253968253
9,34.501428571428576
10,34.30555555555556
11,34.85385281385282
12,34.61142857142857
13,34.39388888888889
14,34.2817316017316
15,34.19285714285714
16,34.39174603174603
17,34.25411255411255
18,33.74233766233766
19,33.98632034632035
20,34.144444444444446
21,34.03038961038961
22,34.006031746031745
23,34.23497835497835
24,34.4
25,34.298809523809524
26,34.15948051948052
27,34.43833333333333
28,34.478412698412704
29,34.290649350649346
30,33.976190476190474
31,33.98063492063492
32,34.51844155844156
33,34.71571428571429
34,34.366031746031744
35,34.51428571428572
36,34.3352380952381
37,34.26865079365079
38,34.67203463203463
39,34.74285714285714
40,34.698412698412696
41,34.35376623376624
42,33.99190476190476
43,34.15878787878788
44,34.33936507936508
45,34.50238095238095
46,34.46909090909091
47,34.062539682539686
48,33.9352380952381
49,34.16813852813853
50,34.45952380952381
51,34.73952380952381
52,34.68363636363637
53,34.394126984126984
54,34.285714285714285
55,34.34588744588744
56,34.52444444444444
57,34.68833333333333
58,34.805367965367964
59,34.92150793650794
60,34.352380952380955
61,34.023116883116884
62,34.37095238095238
63,34.374545454545455
64,34.427936507936515
65,34.6515873015873
66,34.81506493506494
67,34.78388888888889
68,34.60126984126985
69,34.887012987012994
70,35.53809523809524
71,35.552619047619054
72,35.42857142857143
73,35.42857142857143
74,35.57873015873016
75,35.736363636363635
76,35.532380952380954
77,35.42857142857143
78,35.51012987012987
79,35.297380952380955
80,35.27936507936508
81,35.31428571428572
82,35.14634920634921
83,34.46329004329004
84,34.02
85,33.856746031746034
86,34.01108225108225
87,33.87571428571429
88,33.82857142857143
89,33.73497835497835
